Time	Ticks	Date	Temperature	Shutter	Lichtmenge	ThermoBad	TempExt	SollTemp	TempablMz	AmpCut.5	TauCut.5	ErrCut.5	GCut'.5	GCut''.5	GCutNP.5	GCutErr.5	AmpAll.5	TauAll.5	ErrAll.5	GAll'.5	GAll''.5	GAllNP.5	GAllErr.5	TimeOffsLipp
Time	100 ns ticks since 1.1.0001	Date	Temperature	Shutter	Lichtmenge	Temperatur_Thermostatbad	Temperatur_Extern	Solltemperatur	TemperaturableitungMesszelle	AmpCut.5	TauCut.5	ErrCut.5	GCut'.5	GCut''.5	GCutNP.5	GCutErr.5	AmpAll.5	TauAll.5	ErrAll.5	GAll'.5	GAll''.5	GAllNP.5	GAllErr.5	TimeOffset to Spectrometer
s			°C		W/cm²	°C		°C	K/s	Vs	sec		Pa	Pa	Pa	Pa	Vs	sec		Pa	Pa	Pa	Pa	s
600.016	6.3387570479935117E+17	03.09.2009 10:27:59.935	20	0	-2E-10	19.78	27.419	20	-2.17949997907306E-05	6.24707762668485E-09	2.82257880818405E-05	4.1388029785594E-05					4.43358213180024E-08	2.81974390177779E-05	3.85053044738015E-06					-0.0177838
630.017	6.338757050993399E+17	03.09.2009 10:28:29.933	20.01	0	-2E-10	19.74	27.516	20	-1.04043262513142E-05	6.24564119471427E-09	2.8225786342419E-05	3.89595006708987E-05					4.43274034041748E-08	2.81974386136735E-05	2.50228617915127E-06					-0.0149011
660.018	6.3387570539933824E+17	03.09.2009 10:28:59.933	20.01	0	-2E-10	19.75	27.529	20	3.99765002629334E-05	6.24489129272963E-09	2.82257871319282E-05	4.12328408856411E-05					4.43217949822896E-08	2.81974406730515E-05	2.65079461314599E-06					-0.0126988
690.019	6.3387570569933056E+17	03.09.2009 10:29:29.933	20.01	0	-2E-10	19.73	27.537	20	5.62599589477694E-05	6.24462988323498E-09	2.82257903398707E-05	4.11547043768223E-05					4.43166090403959E-08	2.8197440199006E-05	1.5041317737996E-06					-0.0262056
720.019	6.3387570599933363E+17	03.09.2009 10:29:59.933	20	0	-2E-10	19.74	27.529	20	1.26774231207828E-05	6.2451124346001E-09	2.82257886940683E-05	4.30826148658525E-05					4.43103774605235E-08	2.81974392586863E-05	3.22767550642311E-06					-0.0084605
750.02	6.3387570629932454E+17	03.09.2009 10:30:29.932	20	0	-2E-10	19.76	27.583	20	-2.55036495318399E-05	6.24449851836267E-09	2.82257854924399E-05	4.25012076448184E-05					4.43104619565217E-08	2.81974371041107E-05	3.72530530512449E-06					-0.0063375
780.021	6.338757065993239E+17	03.09.2009 10:30:59.932	20	0	-2E-10	19.76	27.604	20	-3.55526177099442E-05	6.24427473599225E-09	2.82257853048374E-05	4.07563129556365E-05					4.43090730535502E-08	2.81974374343883E-05	2.92552726932627E-06					-0.0042189
810.022	6.3387570689931853E+17	03.09.2009 10:31:29.931	20.01	0	-2E-10	19.75	27.662	20	8.85888690244558E-06	6.24265280890047E-09	2.82257921746113E-05	4.1127215808956E-05					4.42960025788179E-08	2.81974383572227E-05	1.66086124409048E-06					-0.0099102
840.023	6.3387570719931814E+17	03.09.2009 10:31:59.931	20.01	0	-2E-10	19.73	27.683	20	5.0034783655E-05	6.24123750092946E-09	2.82257924152768E-05	3.97098301618826E-05					4.42883662529743E-08	2.81974386350444E-05	1.78823245278181E-06					-0.0155994
870.023	6.3387570749931034E+17	03.09.2009 10:32:29.931	20.01	0	-2E-10	19.74	27.75	20	5.30436844856495E-05	6.24021760782534E-09	2.82257921585831E-05	3.93964583054185E-05					4.42835130140737E-08	2.81974377840939E-05	2.99698626804457E-06					-0.0134731
